Dec 08 11:15:41.364 INFO: manager: 1.2.2
Dec 08 11:28:53.056 INFO: ManagerServant: Master manager not found
Dec 08 11:29:03.073 INFO: ManagerServant: Master manager not found
Dec 08 11:29:13.100 INFO: ManagerServant: Master manager not found
Dec 08 11:29:23.123 INFO: ManagerServant: Master manager not found
Dec 08 11:29:33.146 INFO: ManagerServant: Master manager not found
Dec 08 11:29:43.169 INFO: ManagerServant: Master manager not found
Dec 08 11:29:53.200 INFO: ManagerServant: Master manager not found
Dec 08 11:30:03.224 INFO: ManagerServant: Master manager not found
Dec 08 11:30:13.250 INFO: ManagerServant: Master manager not found
Dec 08 11:30:23.275 INFO: ManagerServant: Master manager not found
Dec 08 11:30:33.296 INFO: ManagerServant: Master manager not found
Dec 08 11:30:43.314 INFO: ManagerServant: Master manager not found
Dec 08 11:30:53.333 INFO: ManagerServant: Master manager not found
Dec 08 11:31:03.360 INFO: ManagerServant: Master manager not found
Dec 08 11:31:13.392 INFO: ManagerServant: Master manager not found
Dec 08 11:31:23.425 INFO: ManagerServant: Master manager not found
Dec 08 11:31:33.457 INFO: ManagerServant: Master manager not found
Dec 08 11:31:43.481 INFO: ManagerServant: Master manager not found
Dec 08 11:31:53.511 INFO: ManagerServant: Master manager not found
Dec 08 11:32:03.534 INFO: ManagerServant: Master manager not found
Dec 08 11:32:13.558 INFO: ManagerServant: Master manager not found
Dec 08 11:32:23.587 INFO: ManagerServant: Master manager not found
Dec 08 11:32:33.612 INFO: ManagerServant: Master manager not found
Dec 08 11:32:43.638 INFO: ManagerServant: Master manager not found
Dec 08 11:32:53.661 INFO: ManagerServant: Master manager not found
Dec 08 11:33:03.685 INFO: ManagerServant: Master manager not found
Dec 08 11:33:13.715 INFO: ManagerServant: Master manager not found
Dec 08 11:33:23.734 INFO: ManagerServant: Master manager not found
Dec 08 11:33:33.762 INFO: ManagerServant: Master manager not found
Dec 08 11:33:43.784 INFO: ManagerServant: Master manager not found
Dec 08 11:33:53.810 INFO: ManagerServant: Master manager not found
Dec 08 11:34:03.841 INFO: ManagerServant: Master manager not found
Dec 08 11:34:13.875 INFO: ManagerServant: Master manager not found
Dec 08 11:34:23.903 INFO: ManagerServant: Master manager not found
Dec 08 11:34:33.930 INFO: ManagerServant: Master manager not found
Dec 08 11:34:43.961 INFO: ManagerServant: Master manager not found
Dec 08 11:34:53.996 INFO: ManagerServant: Master manager not found
Dec 08 11:35:04.018 INFO: ManagerServant: Master manager not found
Dec 08 11:35:14.044 INFO: ManagerServant: Master manager not found
Dec 08 11:35:24.068 INFO: ManagerServant: Master manager not found
Dec 08 11:35:34.090 INFO: ManagerServant: Master manager not found
Dec 08 11:35:44.111 INFO: ManagerServant: Master manager not found
Dec 08 11:35:54.131 INFO: ManagerServant: Master manager not found
Dec 08 11:36:04.158 INFO: ManagerServant: Master manager not found
Dec 08 11:36:14.190 INFO: ManagerServant: Master manager not found
Dec 08 11:36:24.218 INFO: ManagerServant: Master manager not found
