Dec 08 06:24:12.538 INFO: manager: 1.2.2
Dec 08 06:24:12.543 INFO: manager: Copyright (C) 2003-2020, Noriaki Ando and OpenRTM development team,
Dec 08 06:24:12.543 INFO: manager:   Intelligent Systems Research Institute, AIST,
Dec 08 06:24:12.543 INFO: manager: Copyright (C) 2020, Noriaki Ando and OpenRTM development team,
Dec 08 06:24:12.543 INFO: manager:   Industrial Cyber-Physical Research Center, AIST,
Dec 08 06:24:12.543 INFO: manager:   All right reserved.
Dec 08 06:24:12.543 INFO: manager: Manager starting.
Dec 08 06:24:12.543 INFO: manager: Starting local logging.
Dec 08 06:24:12.555 WARNING: NamingOnCorba: No endpoint for the CORBA naming service (localhost) was found.
Dec 08 06:24:12.555 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Dec 08 06:24:12.556 INFO: ManagerServant: Named manager reference (INS) was successfully created.
Dec 08 06:24:12.557 WARNING: ManagerServant: Master manager not found
Dec 08 06:24:12.557 INFO: LocalServiceAdmin: All the local services are enabled.
Dec 08 06:24:12.559 INFO: ec_base: setRate(1000000.000000) done
Dec 08 06:24:12.559 INFO: ec_base: setRate(1000.000000) done
Dec 08 06:24:12.559 INFO: HumanProtection0: 1 execution context was created.
Dec 08 06:24:12.559 INFO: HumanProtection0: Initial active configuration set is default.
Dec 08 06:24:18.000 WARNING: SdoServiceAdmin: No available SDO service in the factory: 
Dec 08 06:24:22.559 INFO: ManagerServant: Master manager not found
Dec 08 06:24:32.584 INFO: ManagerServant: Master manager not found
Dec 08 06:24:42.612 INFO: ManagerServant: Master manager not found
Dec 08 06:24:52.641 INFO: ManagerServant: Master manager not found
Dec 08 06:25:02.670 INFO: ManagerServant: Master manager not found
Dec 08 06:25:12.698 INFO: ManagerServant: Master manager not found
Dec 08 06:25:22.719 INFO: ManagerServant: Master manager not found
Dec 08 06:25:32.741 INFO: ManagerServant: Master manager not found
Dec 08 06:25:42.760 INFO: ManagerServant: Master manager not found
Dec 08 06:25:52.784 INFO: ManagerServant: Master manager not found
Dec 08 06:26:02.808 INFO: ManagerServant: Master manager not found
Dec 08 06:26:12.832 INFO: ManagerServant: Master manager not found
Dec 08 06:26:22.858 INFO: ManagerServant: Master manager not found
Dec 08 06:26:32.886 INFO: ManagerServant: Master manager not found
Dec 08 06:26:42.913 INFO: ManagerServant: Master manager not found
Dec 08 06:26:52.941 INFO: ManagerServant: Master manager not found
Dec 08 06:27:02.970 INFO: ManagerServant: Master manager not found
Dec 08 06:27:12.996 INFO: ManagerServant: Master manager not found
Dec 08 06:27:23.024 INFO: ManagerServant: Master manager not found
Dec 08 06:27:33.052 INFO: ManagerServant: Master manager not found
Dec 08 06:27:43.080 INFO: ManagerServant: Master manager not found
Dec 08 06:27:53.106 INFO: ManagerServant: Master manager not found
Dec 08 06:28:03.130 INFO: ManagerServant: Master manager not found
Dec 08 06:28:13.157 INFO: ManagerServant: Master manager not found
Dec 08 06:28:23.184 INFO: ManagerServant: Master manager not found
Dec 08 06:28:33.206 INFO: ManagerServant: Master manager not found
Dec 08 06:28:43.231 INFO: ManagerServant: Master manager not found
Dec 08 06:28:53.256 INFO: ManagerServant: Master manager not found
Dec 08 06:29:03.284 INFO: ManagerServant: Master manager not found
Dec 08 06:29:13.307 INFO: ManagerServant: Master manager not found
Dec 08 06:29:23.335 INFO: ManagerServant: Master manager not found
Dec 08 06:29:33.362 INFO: ManagerServant: Master manager not found
Dec 08 06:29:43.390 INFO: ManagerServant: Master manager not found
Dec 08 06:29:53.414 INFO: ManagerServant: Master manager not found
Dec 08 06:30:03.440 INFO: ManagerServant: Master manager not found
Dec 08 06:30:13.466 INFO: ManagerServant: Master manager not found
Dec 08 06:30:23.492 INFO: ManagerServant: Master manager not found
Dec 08 06:30:33.519 INFO: ManagerServant: Master manager not found
Dec 08 06:30:43.547 INFO: ManagerServant: Master manager not found
Dec 08 06:30:53.575 INFO: ManagerServant: Master manager not found
Dec 08 06:31:03.602 INFO: ManagerServant: Master manager not found
Dec 08 06:31:13.628 INFO: ManagerServant: Master manager not found
Dec 08 06:31:23.655 INFO: ManagerServant: Master manager not found
Dec 08 06:31:33.681 INFO: ManagerServant: Master manager not found
Dec 08 06:31:43.708 INFO: ManagerServant: Master manager not found
Dec 08 06:31:53.738 INFO: ManagerServant: Master manager not found
Dec 08 06:32:03.766 INFO: ManagerServant: Master manager not found
Dec 08 06:32:13.795 INFO: ManagerServant: Master manager not found
Dec 08 06:32:23.824 INFO: ManagerServant: Master manager not found
Dec 08 06:32:33.854 INFO: ManagerServant: Master manager not found
Dec 08 06:32:43.883 INFO: ManagerServant: Master manager not found
Dec 08 06:32:53.911 INFO: ManagerServant: Master manager not found
Dec 08 06:33:03.941 INFO: ManagerServant: Master manager not found
Dec 08 06:33:13.969 INFO: ManagerServant: Master manager not found
Dec 08 06:33:23.997 INFO: ManagerServant: Master manager not found
Dec 08 06:33:34.026 INFO: ManagerServant: Master manager not found
Dec 08 06:33:44.056 INFO: ManagerServant: Master manager not found
Dec 08 06:33:54.083 INFO: ManagerServant: Master manager not found
Dec 08 06:34:04.111 INFO: ManagerServant: Master manager not found
Dec 08 06:34:14.139 INFO: ManagerServant: Master manager not found
Dec 08 06:34:24.168 INFO: ManagerServant: Master manager not found
Dec 08 06:34:34.195 INFO: ManagerServant: Master manager not found
Dec 08 06:34:44.225 INFO: ManagerServant: Master manager not found
Dec 08 06:34:54.255 INFO: ManagerServant: Master manager not found
Dec 08 06:35:04.285 INFO: ManagerServant: Master manager not found
Dec 08 06:35:14.312 INFO: ManagerServant: Master manager not found
Dec 08 06:35:24.342 INFO: ManagerServant: Master manager not found
Dec 08 06:35:34.372 INFO: ManagerServant: Master manager not found
Dec 08 06:35:44.402 INFO: ManagerServant: Master manager not found
Dec 08 06:35:54.431 INFO: ManagerServant: Master manager not found
Dec 08 06:36:04.460 INFO: ManagerServant: Master manager not found
Dec 08 06:36:14.490 INFO: ManagerServant: Master manager not found
Dec 08 06:36:24.519 INFO: ManagerServant: Master manager not found
Dec 08 06:36:34.550 INFO: ManagerServant: Master manager not found
Dec 08 06:36:44.580 INFO: ManagerServant: Master manager not found
Dec 08 06:36:54.609 INFO: ManagerServant: Master manager not found
Dec 08 06:37:04.638 INFO: ManagerServant: Master manager not found
Dec 08 06:37:14.669 INFO: ManagerServant: Master manager not found
Dec 08 06:37:24.699 INFO: ManagerServant: Master manager not found
Dec 08 06:37:34.738 INFO: ManagerServant: Master manager not found
Dec 08 06:37:44.768 INFO: ManagerServant: Master manager not found
Dec 08 06:37:54.797 INFO: ManagerServant: Master manager not found
Dec 08 06:38:04.824 INFO: ManagerServant: Master manager not found
Dec 08 06:38:14.854 INFO: ManagerServant: Master manager not found
Dec 08 06:38:24.884 INFO: ManagerServant: Master manager not found
Dec 08 06:38:34.912 INFO: ManagerServant: Master manager not found
Dec 08 06:38:44.943 INFO: ManagerServant: Master manager not found
Dec 08 06:38:54.970 INFO: ManagerServant: Master manager not found
Dec 08 06:39:04.998 INFO: ManagerServant: Master manager not found
Dec 08 06:39:15.026 INFO: ManagerServant: Master manager not found
Dec 08 06:39:25.056 INFO: ManagerServant: Master manager not found
Dec 08 06:39:35.084 INFO: ManagerServant: Master manager not found
Dec 08 06:39:45.113 INFO: ManagerServant: Master manager not found
Dec 08 06:39:55.144 INFO: ManagerServant: Master manager not found
Dec 08 06:40:05.171 INFO: ManagerServant: Master manager not found
Dec 08 06:40:15.200 INFO: ManagerServant: Master manager not found
Dec 08 06:40:25.230 INFO: ManagerServant: Master manager not found
Dec 08 06:40:35.261 INFO: ManagerServant: Master manager not found
Dec 08 06:40:45.289 INFO: ManagerServant: Master manager not found
Dec 08 06:40:55.309 INFO: ManagerServant: Master manager not found
Dec 08 06:40:58.581 ERROR: ec_worker: State of the RTC is not ACTIVE_STATE.
Dec 08 06:40:58.615 WARNING: ec_worker: ExecutionContext is already stopped.
Dec 08 06:40:58.615 ERROR: ec_base: Invoking on_shutdown() for each RTC failed.
